"country","mort.num"
"India",253387.469897767
"Nigeria",249773.704433546
"Indonesia",125342.264240233
"South Africa",96311.2120449074
"Bangladesh",81659.8292228617
"Democratic Republic of the Congo",57842.2236506949
"Mozambique",54668.42
"Pakistan",49661.2910396331
"China",38885.3068313307
"Ethiopia",36884.5622380404
