"country","inc.num"
"India",2118182.74361078
"Indonesia",990686.112909969
"China",945142.725411173
"Nigeria",573499.212685908
"Pakistan",502825.713769769
"South Africa",444544.614879799
"Bangladesh",360301.403982016
"Philippines",311170.334510199
"Democratic Republic of the Congo",225349.00302492
"Ethiopia",199577.288532678
