"country","mort"
"Lesotho",295.537751531512
"Mozambique",200.867231064235
"Swaziland",186.116276240892
"South Africa",178.456365095648
"Guinea-Bissau",143.597748610455
"Nigeria",140.736620239736
"Djibouti",136.6591190002
"Namibia",126.852698168728
"Central African Republic",112.778946599187
"United Republic of Tanzania",111.742852289248
