"country","inc"
"Lesotho",852.010036322618
"South Africa",836.561090418038
"Swaziland",733.401009174437
"Djibouti",619.292224365701
"Namibia",576.273504322061
"Mozambique",568.817069883843
"Zimbabwe",502.853016086357
"Timor-Leste",498.203679864248
"Kiribati",497.064024777481
"Gabon",443.373926612766
